id,dur,spkts,sttl,swin,stcpb,dtcpb,rate,label
1,0.121478,6,252,255,621772692,2202533631,74.08749,0
2,0.649902,14,62,255,1417884146,3077387971,78.473372,0
3,1.623129,8,62,255,2116150707,2963114973,14.170161,0
4,1.681642,12,62,255,1107119177,1047442890,13.677108,0
5,0.449454,10,254,255,2436137549,1977154190,33.373826,0
6,0.380537,10,254,255,3984155503,1796040391,39.41798,0
7,0.637109,10,254,255,1787309226,1767180493,26.683033,0
8,0.521584,10,254,255,205985702,316006300,32.593026,0
9,0.542905,10,254,255,884094874,3410317203,31.313031,0
10,0.258687,10,254,255,3368447996,584859215,57.985135,0
11,0.304853,12,254,255,137150292,2604092885,55.764583,0
12,2.093085,62,62,255,1824722662,860716719,42.520967,0
13,0.416952,10,254,255,88408021,3711983528,35.975363,0
14,0.996221,10,254,255,2321780530,2975132930,17.064487,0
15,0.576755,10,254,255,3772251972,4281731981,29.475254,0
16,2e-06,2,254,0,0,0,500000.0013,0
17,0.728252,10,254,255,1735938977,4242381139,20.597266,0
18,0.393556,10,62,255,3882971404,3084071099,43.195886,0
19,0.387852,10,254,255,527350728,2602577308,38.674545,0
20,0.53784,10,254,255,1082242371,490886647,31.607913,0
21,0.23372,10,254,255,3154063438,720362539,64.179359,0
22,0.338017,10,254,255,2665974075,3521361798,44.376468,0
23,0.964656,14,62,255,996917599,59266788,25.915974,0
24,0.449703,10,254,255,3332877477,919392200,33.355347,0
25,0.921025,10,254,255,3206068676,1681266426,16.286203,0
26,0.600982,10,254,255,27784615,3169599504,28.287036,0
27,0.568945,10,254,255,2091538399,2966279639,26.364588,0
28,0.497636,10,254,255,3752199860,1351947933,30.142514,0
29,0.546425,10,254,255,1648692252,4159782394,31.111315,0
30,1.2e-05,2,254,0,0,0,83333.33039,0
31,0.725996,10,62,255,1602967781,379821754,34.435451,0
32,0.274605,10,62,255,621256643,3708416778,54.623913,0
33,0.337456,10,62,255,4112395778,844999239,50.37694,0
34,2.5e-05,2,254,0,0,0,40000.00101,0
35,0.296656,10,254,255,1563109371,3038977009,50.563614,0
36,0.647499,14,62,255,3580922434,9526895,38.610097,0
37,1.5e-05,2,254,0,0,0,66666.66835,0
38,0.783681,10,254,255,1872773568,1858125725,21.692501,0
39,0.354553,10,254,255,1847180576,2269075358,42.30679,0
40,0.288834,10,254,255,3478195875,2757256862,51.932943,0
41,0.318127,10,254,255,948239585,934979085,47.15098,0
42,0.595373,10,62,255,1350338751,2999326159,31.912769,0
43,8e-06,2,254,0,0,0,125000.0003,0
44,0.340802,10,62,255,1258158764,2960110442,49.882334,0
45,0.594195,10,62,255,738770101,1038968055,31.976034,0
46,0.958877,24,62,255,3196819802,862162377,84.473814,0
47,0.704664,10,254,255,3456504569,1694936299,24.124973,0
48,0.401005,12,62,255,3583069915,2891606391,57.355893,0
49,1.067039,28,62,255,74221989,462346651,44.047124,0
50,1e-05,2,254,0,0,0,100000.0025,0
51,1.673507,28,254,255,3178147768,1236558509,32.865115,0
52,1.474306,10,254,255,863087680,984044800,11.530849,0
53,0.694488,10,254,255,1951555075,4285528683,24.478465,0
54,39.666687,2,0,0,0,0,0.07563,0
55,2.4e-05,2,254,0,0,0,41666.66519,0
56,1.357879,30,254,255,2487711373,605464524,39.031459,0
57,0.304583,10,62,255,2794373470,3293312685,55.814012,0
58,0.0,1,0,0,0,0,0.0,0
59,0.0,1,0,0,0,0,0.0,0
60,1.1e-05,2,254,0,0,0,90909.0902,0
61,0.28907,12,62,255,1805972135,3328703337,65.728022,0
62,0.679871,10,254,255,1932902012,3978787403,25.004743,0
63,0.707468,10,254,255,477137865,4040016766,24.029356,0
64,0.448097,10,254,255,2381998750,175150692,37.938215,0
65,0.291859,10,62,255,196435075,929398098,65.099928,0
66,50.004398,6,1,0,0,0,0.099991,0
67,50.004398,6,1,0,0,0,0.099991,0
68,0.307031,10,254,255,164460045,1427244157,55.369001,0
69,0.519983,12,62,255,4070831055,76491978,67.309894,0
70,42.044567,2,0,0,0,0,0.071353,0
71,3.934488,10,254,255,259308319,2722545171,4.320765,0
72,1.1e-05,2,254,0,0,0,90909.0902,0
73,0.021412,16,31,255,4287458863,4292581725,1541.191851,0
74,1.1e-05,2,254,0,0,0,90909.0902,0
75,1e-05,2,254,0,0,0,100000.0025,0
76,30.984749,4,0,0,0,0,0.225918,0
77,1.1e-05,2,254,0,0,0,90909.0902,0
78,1e-05,2,254,0,0,0,100000.0025,0
79,1.1e-05,2,254,0,0,0,90909.0902,0
80,1.1e-05,2,254,0,0,0,90909.0902,0
81,1.1e-05,2,254,0,0,0,90909.0902,0
82,9e-06,2,254,0,0,0,111111.1072,0
83,9e-06,2,254,0,0,0,111111.1072,0
84,1e-05,2,254,0,0,0,100000.0025,0
85,8e-06,2,254,0,0,0,125000.0003,0
86,1.1e-05,2,254,0,0,0,90909.0902,0
87,9e-06,2,254,0,0,0,111111.1072,0
88,1e-05,2,254,0,0,0,100000.0025,0
89,9e-06,2,254,0,0,0,111111.1072,0
90,9e-06,2,254,0,0,0,111111.1072,0
91,1.1e-05,2,254,0,0,0,90909.0902,0
92,0.989341,36,62,255,1717978351,3336318753,57.614108,0
93,1e-05,2,254,0,0,0,100000.0025,0
94,0.018501,16,31,255,2204166040,59759043,1783.687322,0
95,1.2e-05,2,254,0,0,0,83333.33039,0
96,1.1e-05,2,254,0,0,0,90909.0902,0
97,1e-05,2,254,0,0,0,100000.0025,0
98,37.578835,22,31,255,3446481727,3446826646,1.197483,0
99,1.1e-05,2,254,0,0,0,90909.0902,0
100,1.1e-05,2,254,0,0,0,90909.0902,0
101,33.787666,14,31,255,1009427149,3155920751,0.917495,0
102,1.2e-05,2,254,0,0,0,83333.33039,0
103,1e-05,2,254,0,0,0,100000.0025,0
104,23.275909,14,31,255,1166977160,3313595088,1.331849,0
105,1.1e-05,2,254,0,0,0,90909.0902,0
106,13.828278,122,31,255,2449906277,305570557,17.86195,0
107,1e-05,2,254,0,0,0,100000.0025,0
108,1e-05,2,254,0,0,0,100000.0025,0
109,27.409573,22,31,255,2884030658,734806056,1.641762,0
110,1.4e-05,2,254,0,0,0,71428.57045,0
111,1.1e-05,2,254,0,0,0,90909.0902,0
112,29.662262,28,31,255,1681939184,3830619533,1.921634,0
113,9e-06,2,254,0,0,0,111111.1072,0
114,36.942242,14,31,255,3866485097,3863518264,0.839148,0
115,1.1e-05,2,254,0,0,0,90909.0902,0
116,1e-05,2,254,0,0,0,100000.0025,0
117,0.022011,16,31,255,2319974706,180086246,1499.25033,0
118,1.1e-05,2,254,0,0,0,90909.0902,0
119,0.006295,14,31,255,2022076359,2038656425,3018.26837,0
120,1.1e-05,2,254,0,0,0,90909.0902,0
121,1.1e-05,2,254,0,0,0,90909.0902,0
122,0.02173,16,31,255,2319973931,2324935030,1518.637817,0
123,9e-06,2,254,0,0,0,111111.1072,0
124,1.1e-05,2,254,0,0,0,90909.0902,0
125,0.018574,16,31,255,2204166818,60275815,1776.677132,0
126,1e-05,2,254,0,0,0,100000.0025,0
127,3.197673,38,31,255,2089421982,294068856,24.08001,0
128,3.3e-05,2,254,0,0,0,30303.03007,0
129,1e-05,2,254,0,0,0,100000.0025,0
130,9.29631,16,31,255,977033143,1001653029,3.549795,0
131,1e-05,2,254,0,0,0,100000.0025,0
132,1e-05,2,254,0,0,0,100000.0025,0
133,1e-05,2,254,0,0,0,100000.0025,0
134,0.895857,20,254,255,2359537163,847306770,43.533735,0
135,1.1e-05,2,254,0,0,0,90909.0902,0
136,1.1e-05,2,254,0,0,0,90909.0902,0
137,9e-06,2,254,0,0,0,111111.1072,0
138,33.607136,14,31,255,3214807334,3220177318,0.922423,0
139,1e-05,2,254,0,0,0,100000.0025,0
140,1.2e-05,2,254,0,0,0,83333.33039,0
141,33.018524,2,0,0,0,0,0.090858,0
142,2.2e-05,2,63,0,0,0,45454.5451,0
143,1.1e-05,2,254,0,0,0,90909.0902,0
144,0.020677,16,31,255,2142070598,4291507886,1595.976184,0
145,1.1e-05,2,254,0,0,0,90909.0902,0
146,0.016974,16,31,255,2319970764,180589574,1944.149846,0
147,1.1e-05,2,254,0,0,0,90909.0902,0
148,1e-05,2,254,0,0,0,100000.0025,0
149,0.004688,10,31,255,4171656256,2034849337,4479.522336,0
