id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
1,10.0.0.5,1738340032.598007,1,948,64,42340,4076593768,0,5.453478503760755e-07,5.752614455443833e-10,3.6816732514840534e-08,-4076593768.0,172602980137120.0,0
2,10.0.0.3,1738340032.598155,1,951,64,43440,3486983398,4076593769,5.47073634712662e-07,5.752614455443343e-10,3.68167325148374e-08,589610371.0,151474558809120.0,0
3,10.0.0.5,1738340032.598211,1,936,64,83,4076593769,3486983399,5.384447130294796e-07,5.752614455443158e-10,3.681673251483621e-08,-589610370.0,338357282827.0,0
4,10.0.0.5,1738340032.604300,1,935,64,42340,456417013,0,5.378694515820513e-07,5.752614455423008e-10,3.681673251470725e-08,-456417013.0,19324696330420.0,0
5,10.0.0.2,1738340032.604366,1,889,64,43440,899377124,456417014,5.11407425087086e-07,5.75261445542279e-10,3.6816732514705856e-08,-442960110.0,39068942266560.0,0
6,10.0.0.5,1738340032.604390,1,837,64,83,456417014,899377125,4.81493829918881e-07,5.752614455422711e-10,3.681673251470535e-08,442960111.0,37882612162.0,0
7,10.0.0.5,1738340032.604808,1,909,64,83,456417014,899377125,5.229126539977986e-07,5.752614455421327e-10,3.681673251469649e-08,442960111.0,37882612162.0,0
8,10.0.0.2,1738340032.604835,1,920,64,85,899377125,456417154,5.292405298987538e-07,5.752614455421238e-10,3.681673251469592e-08,-442959971.0,76447055625.0,0
9,10.0.0.2,1738340032.605579,1,1033,64,85,899377125,456417154,5.942450732447596e-07,5.752614455418776e-10,3.681673251468017e-08,-442959971.0,76447055625.0,0
10,10.0.0.2,1738340032.605662,1,853,64,85,899377243,456417154,4.906980130471982e-07,5.752614455418501e-10,3.6816732514678406e-08,-442960089.0,76447065655.0,0
11,10.0.0.5,1738340032.605763,1,954,64,83,456417154,899377243,5.487994190468932e-07,5.752614455418167e-10,3.681673251467627e-08,442960089.0,37882623782.0,0
12,10.0.0.5,1738340032.606893,1,778,64,83,456417154,899377244,4.4755340463124243e-07,5.752614455414427e-10,3.6816732514652334e-08,442960090.0,37882623782.0,0
13,10.0.0.2,1738340032.606927,1,904,64,85,899377244,456417155,5.200363467694541e-07,5.752614455414315e-10,3.681673251465162e-08,-442960089.0,76447065740.0,0
14,10.0.0.5,1738340032.607273,1,1131,64,83,4076593769,3486983399,6.506206949072295e-07,5.75261445541317e-10,3.681673251464429e-08,-589610370.0,338357282827.0,0
15,10.0.0.3,1738340032.607306,1,944,64,85,3486983399,4076593977,5.43046804590993e-07,5.752614455413061e-10,3.681673251464359e-08,589610578.0,296393588915.0,0
16,10.0.0.5,1738340032.607803,1,829,64,83,4076593977,3486983399,4.768917383536063e-07,5.752614455411416e-10,3.6816732514633064e-08,-589610578.0,338357300091.0,0
17,10.0.0.3,1738340032.607826,1,792,64,85,3486983399,4076593986,4.556070648685781e-07,5.75261445541134e-10,3.6816732514632574e-08,589610587.0,296393588915.0,0
18,10.0.0.3,1738340032.608067,1,1050,64,85,3486983399,4076593986,6.040245178181069e-07,5.752614455410543e-10,3.681673251462747e-08,589610587.0,296393588915.0,0
19,10.0.0.3,1738340032.608154,1,873,64,85,3486983517,4076593986,5.022032419573152e-07,5.752614455410254e-10,3.6816732514625626e-08,589610469.0,296393598945.0,0
20,10.0.0.5,1738340032.609703,1,855,64,83,4076593986,3486983517,4.918485359371385e-07,5.752614455405129e-10,3.681673251459282e-08,-589610469.0,338357300838.0,0
21,10.0.0.5,1738340032.611165,1,857,64,83,4076593986,3486983556,4.929990588278048e-07,5.752614455400291e-10,3.681673251456186e-08,-589610430.0,338357300838.0,0
22,10.0.0.3,1738340032.611194,1,888,64,85,3486983556,4076593987,5.108321636395373e-07,5.752614455400194e-10,3.6816732514561245e-08,589610431.0,296393602260.0,0
23,10.0.0.5,1738340032.655159,1,849,64,42340,821252761,0,4.883969672511243e-07,5.752614455254703e-10,3.68167325136301e-08,-821252761.0,34771841900740.0,0
24,10.0.0.3,1738340032.655283,1,888,64,43440,3577249146,821252762,5.108321636265812e-07,5.752614455254292e-10,3.681673251362747e-08,-2755996384.0,155395702902240.0,0
25,10.0.0.5,1738340032.655334,1,817,64,83,821252762,3577249147,4.6998860099426193e-07,5.752614455254124e-10,3.681673251362639e-08,2755996385.0,68163979246.0,0
26,10.0.0.5,1738340032.655910,1,940,64,83,821252762,3577249147,5.407457587937085e-07,5.752614455252218e-10,3.6816732513614196e-08,2755996385.0,68163979246.0,0
27,10.0.0.3,1738340032.655955,1,855,64,85,3577249147,821252909,4.918485359240518e-07,5.752614455252068e-10,3.6816732513613236e-08,-2755996238.0,304066177495.0,0
28,10.0.0.3,1738340032.656826,1,1082,64,85,3577249147,821252909,6.22432884057962e-07,5.752614455249186e-10,3.681673251359479e-08,-2755996238.0,304066177495.0,0
29,10.0.0.3,1738340032.656922,1,813,64,85,3577249265,821252909,4.67687555211733e-07,5.752614455248868e-10,3.6816732513592755e-08,-2755996356.0,304066187525.0,0
30,10.0.0.5,1738340032.657014,1,844,64,83,821252909,3577249265,4.855206600229789e-07,5.752614455248565e-10,3.6816732513590816e-08,2755996356.0,68163991447.0,0
