id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
1,10.0.0.5,1738430313,1,792,64,42340,2875470212,0,4.56E-07,5.75E-10,3.68E-08,-2875470212,121747408776080,0
2,10.0.0.2,1738430313,1,933,64,43440,959308405,2875470213,5.37E-07,5.75E-10,3.68E-08,1916161808,41672357113200,0
3,10.0.0.5,1738430313,1,824,64,83,2875470213,959308406,4.74E-07,5.75E-10,3.68E-08,-1916161807,238664027679,0
4,10.0.0.5,1738430313,1,939,64,83,2875470213,959308406,5.40E-07,5.75E-10,3.68E-08,-1916161807,238664027679,0
5,10.0.0.2,1738430313,1,962,64,85,959308406,2875470353,5.53E-07,5.75E-10,3.68E-08,1916161947,81541214510,0
6,10.0.0.2,1738430313,1,939,64,85,959308406,2875470353,5.40E-07,5.75E-10,3.68E-08,1916161947,81541214510,0
7,10.0.0.2,1738430313,1,786,64,85,959308524,2875470353,4.52E-07,5.75E-10,3.68E-08,1916161829,81541224540,0
8,10.0.0.5,1738430313,1,891,64,83,2875470353,959308524,5.13E-07,5.75E-10,3.68E-08,-1916161829,238664039299,0
9,10.0.0.5,1738430313,1,941,64,83,2875470353,959308525,5.41E-07,5.75E-10,3.68E-08,-1916161828,238664039299,0
10,10.0.0.2,1738430313,1,962,64,85,959308525,2875470354,5.53E-07,5.75E-10,3.68E-08,1916161829,81541224625,0
11,10.0.0.5,1738430313,1,827,64,42340,4101050421,0,4.76E-07,5.75E-10,3.68E-08,-4101050421,173638474825140,0
12,10.0.0.1,1738430313,1,866,64,43440,1603544887,4101050422,4.98E-07,5.75E-10,3.68E-08,2497505535,69657989891280,0
13,10.0.0.5,1738430313,1,790,64,83,4101050422,1603544888,4.54E-07,5.75E-10,3.68E-08,-2497505534,340387185026,0
14,10.0.0.5,1738430313,1,1056,64,83,4101050422,1603544888,6.07E-07,5.75E-10,3.68E-08,-2497505534,340387185026,0
15,10.0.0.1,1738430313,1,908,64,85,1603544888,4101050562,5.22E-07,5.75E-10,3.68E-08,2497505674,136301315480,0
16,10.0.0.1,1738430313,1,1066,64,85,1603544888,4101050562,6.13E-07,5.75E-10,3.68E-08,2497505674,136301315480,0
17,10.0.0.1,1738430313,1,963,64,85,1603545006,4101050562,5.54E-07,5.75E-10,3.68E-08,2497505556,136301325510,0
18,10.0.0.5,1738430313,1,802,64,83,4101050562,1603545006,4.61E-07,5.75E-10,3.68E-08,-2497505556,340387196646,0
19,10.0.0.5,1738430313,1,868,64,83,4101050562,1603545007,4.99E-07,5.75E-10,3.68E-08,-2497505555,340387196646,0
20,10.0.0.1,1738430313,1,860,64,85,1603545007,4101050563,4.95E-07,5.75E-10,3.68E-08,2497505556,136301325595,0
21,10.0.0.5,1738430314,1,781,64,42340,3721136572,0,4.49E-07,5.75E-10,3.68E-08,-3721136572,157552922458480,0
22,10.0.0.1,1738430314,1,912,64,43440,1075042602,3721136573,5.25E-07,5.75E-10,3.68E-08,2646093971,46699850630880,0
